id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
83CAB,F,2019,2017,2,Upper Blessington,0,0,NA,Fawn,0.317,NA,NA,NA,NA,TasInd,TasInd
83CAB,F,2020,2017,3,Upper Blessington,0,0,NA,Fawn,0.317,NA,NA,NA,NA,TasInd,TasInd
83DBF,F,2019,2018,1,MFWS,0,0,0.635,Black,0.276,52.6,51.7,81.7,0.253581662,C062B,0DD92
83DBF,F,2020,2018,2,MFWS,0,0,NA,Black,0.276,NA,NA,NA,0.253581662,C062B,0DD92
83E0D,F,2018,2017,1,Fingal Forest,0,0,1.064,Black,0.318,54.07,54.015,84.72,NA,TasInd,TasInd
83E0D,F,2019,2017,2,Fingal Forest,0,0,1.145,Black,0.318,55.3,55.4,91.7,NA,TasInd,TasInd
83E0D,F,2020,2017,3,Fingal Forest,0,0,NA,Black,0.318,NA,NA,NA,NA,TasInd,TasInd
83EAC,F,2019,2018,1,MFWS,0,0,0.673,Fawn,0.316,52.9,54.35,82.6,0.293123209,0DD54,1715
83EAC,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.316,NA,NA,NA,0.293123209,0DD54,1715
840B6,F,2019,2018,1,MFWS,0,0,0.673,Fawn,0.305,50.22,49.82,80.265,0.287965616,0DD54,BDD65
840B6,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.305,NA,NA,NA,0.287965616,0DD54,BDD65
840FA,F,2019,2018,1,MFWS,0,0,0.705,Fawn,0.307,50.975,51.195,83.865,0.306303725,0DF4C,0DD4C
840FA,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.307,NA,NA,NA,0.306303725,0DF4C,0DD4C
8414B,F,2018,2017,1,Upper Blessington,0,0,0.904,Black,0.317,52.6975,51.115,84.295,NA,TasInd,TasInd
8414B,F,2019,2017,2,Upper Blessington,0,0,0.847,Black,0.317,52.08333333,51.98,87.795,NA,TasInd,TasInd
8414B,F,2020,2017,3,Upper Blessington,0,0,NA,Black,0.317,NA,NA,NA,NA,TasInd,TasInd
841DF,F,2019,2018,1,Surrey Hills,0,0,0.705,Black,0.3,54.7,53.9,84,NA,TasInd,TasInd
841DF,F,2020,2018,2,Surrey Hills,0,0,NA,Black,0.3,NA,NA,NA,NA,TasInd,TasInd
84E6F,F,2017,2016,1,MFWS,2,1,NA,Fawn,0.332,NA,NA,NA,NA,10,3
84E6F,F,2018,2016,2,MFWS,0,0,1.045,Fawn,0.332,56.02,57.19,93.17,NA,10,3
84E6F,F,2019,2016,3,MFWS,0,0,NA,Fawn,0.332,NA,NA,NA,NA,10,3
84E6F,F,2020,2016,4,MFWS,0,0,NA,Fawn,0.332,NA,NA,NA,NA,10,3
886C3,F,2017,2016,1,MFWS,0,0,NA,Fawn,0.323,NA,NA,NA,0.180515759,E91DB,E8FC0
886C3,F,2018,2016,2,MFWS,0,0,NA,Fawn,0.323,NA,NA,NA,0.180515759,E91DB,E8FC0
886C3,F,2019,2016,3,MFWS,0,0,NA,Fawn,0.323,NA,NA,NA,0.180515759,E91DB,E8FC0
886C3,F,2020,2016,4,MFWS,0,0,NA,Fawn,0.323,NA,NA,NA,0.180515759,E91DB,E8FC0
88C2Ba,F,2016,2015,1,MtR transf 2016,2,1,0.789,Black,0.246,56.18666667,56.55,93.01,NA,MtRInd,MtRInd
88C2Ba,F,2017,2015,2,MtR transf 2016,0,0,NA,Black,0.246,NA,NA,NA,NA,MtRInd,MtRInd
88C2Ba,F,2018,2015,3,MtR transf 2016,0,0,NA,Black,0.246,NA,NA,NA,NA,MtRInd,MtRInd
88C2Ba,F,2019,2015,4,MtR transf 2016,0,0,NA,Black,0.246,NA,NA,NA,NA,MtRInd,MtRInd
88C2Ba,F,2020,2015,5,MtR transf 2016,0,0,NA,Black,0.246,NA,NA,NA,NA,MtRInd,MtRInd
88C7E,M,2017,2016,1,MFWS,1,1,0.203,Fawn,0.335,44.7,41.6,61.9,0.29713467,3,BF9FC
88C7E,M,2018,2016,2,MFWS,1,1,0.97,Fawn,0.335,59.87,59.53,86.29,0.29713467,3,BF9FC
88C7E,M,2019,2016,3,MFWS,1,1,1.266,Fawn,0.335,58.9,59.75,89.325,0.29713467,3,BF9FC
88C7E,M,2020,2016,4,MFWS,0,0,1.165,Fawn,0.335,61.2,59.9,98.1,0.29713467,3,BF9FC
88D4D,F,2019,2018,1,MFWS,0,0,NA,Fawn,0.377,NA,NA,NA,NA,7,83CAB
88D4D,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.377,NA,NA,NA,NA,7,83CAB
88DB3a,M,2016,2014,2,Pine Tiers Lagoon,0,0,NA,Black,0.318,56.5,57.3,98.3,NA,TasInd,TasInd
88DB3a,M,2017,2014,3,Pine Tiers Lagoon,0,0,NA,Black,0.318,NA,NA,NA,NA,TasInd,TasInd
88DB3a,M,2018,2014,4,Pine Tiers Lagoon,0,0,NA,Black,0.318,NA,NA,NA,NA,TasInd,TasInd
88DB3a,M,2019,2014,5,Pine Tiers Lagoon,0,0,NA,Black,0.318,NA,NA,NA,NA,TasInd,TasInd
88DB3a,M,2020,2014,6,Pine Tiers Lagoon,0,0,NA,Black,0.318,NA,NA,NA,NA,TasInd,TasInd
8BD0A,M,2018,2017,1,MFWS,0,0,NA,Fawn,0.321,NA,NA,NA,0.29713467,FC42B,BF9FC
